,neighborhood,post title,URL,price,longitude,latitude
0, (Forest Park),"BRIGHT 1 BED, SS Appliances with Balcony - METRA & GREEN LINE $995",https://chicago.craigslist.org/nch/apa/d/forest-park-bright-1-bed-ss-appliances/7068493411.html,995,-87.8106,41.8744
1, (Forest Park),Studio ($690) and 1 Bedroom ($810/$850) Apartments Available,https://chicago.craigslist.org/nwc/apa/d/studio-690-and-1-bedroom-apartments/7068826683.html,,-87.8106,41.8744
2, (FOREST PARK),GIANT BALCONY &  HEATED GARAGE 1 BDRM APT.,https://chicago.craigslist.org/wcl/apa/d/giant-balcony-heated-garage-1-bdrm-apt/7069194317.html,1100,-87.8106,41.8744
3, (Forest Park),SEMI-MODERN ONE BEDROOMS FROM $1005-1015 - 227,https://chicago.craigslist.org/wcl/apa/d/forest-park-semi-modern-one-bedrooms/7072653922.html,1005,-87.8106,41.8744
4, (Forest Park),"FOREST PARK / OAK PARK 1 Bedroom, Balcony, 60130 METRA & GREEN LINE",https://chicago.craigslist.org/nch/apa/d/forest-park-forest-park-oak-park-1/7079812441.html,985,-87.8106,41.8744
5, (Elmhurst),CHEAP & CLEAN 1 BDRM GARDEN APT.,https://chicago.craigslist.org/wcl/apa/d/forest-park-cheap-clean-1-bdrm-garden/7082082422.html,750,-87.8106,41.8744
6," (Forest Park, IL)","7219 Madison, Forest Park",https://chicago.craigslist.org/wcl/apa/d/forest-park-7219-madison-forest-park/7082926273.html,,-87.8106,41.8744
7, (7535 Jackson Blvd),Forest Park 1 Bedroom Apt Near Transportation!,https://chicago.craigslist.org/chc/apa/d/forest-park-forest-park-1-bedroom-apt/7068213749.html,1125,-87.814258,41.875831
8, (7535 Jackson Blvd),Forest Park 1 Bedroom Apt Near Transportation!,https://chicago.craigslist.org/chc/apa/d/forest-park-forest-park-1-bedroom-apt/7072614739.html,1040,-87.814258,41.875831
9, (7535 Jackson Blvd),Forest Park 1 Bedroom Apt Near Transportation!,https://chicago.craigslist.org/chc/apa/d/forest-park-forest-park-1-bedroom-apt/7076937611.html,1125,-87.814258,41.875831
10, (7535 Jackson Blvd),Forest Park 1 Bedroom Apt Near Transportation!,https://chicago.craigslist.org/chc/apa/d/forest-park-forest-park-1-bedroom-apt/7080289254.html,1050,-87.814258,41.875831
